continent,location,population,population_density,median_age,aged_65_older,life_expectancy,gdp_per_capita,extreme_poverty
Asia,Turkey,85042736,104.914,31.6,8.153,77.69,25129.341,0.2
Asia,Turkmenistan,6117933,12.253,26.9,4.277,68.19,16389.023,NA
North America,Turks and Caicos Islands,39226,37.312,NA,NA,80.22,NA,NA
Oceania,Tuvalu,11925,373.067,NA,NA,67.57,3575.104,3.3
Africa,Uganda,47123533,213.759,16.4,2.168,63.37,1697.707,41.6
Europe,Ukraine,43466822,77.39,41.4,16.462,72.06,7894.393,0.1
Asia,United Arab Emirates,9991083,112.442,34,1.144,77.97,67293.483,NA
Europe,United Kingdom,68207114,272.898,40.8,18.517,81.32,39753.244,0.2
North America,United States,332915074,35.608,38.3,15.413,78.86,54225.446,1.2
NA,Upper middle income,2513672790,NA,NA,NA,NA,NA,NA
South America,Uruguay,3485152,19.751,35.6,14.655,77.91,20551.409,0.1
Asia,Uzbekistan,33935765,76.134,28.2,4.469,71.72,6253.104,NA
Oceania,Vanuatu,314464,22.662,23.1,4.394,70.47,2921.909,13.2
Europe,Vatican,812,NA,NA,NA,75.12,NA,NA
South America,Venezuela,28704947,36.253,29,6.614,72.06,16745.022,NA
Asia,Vietnam,98168829,308.127,32.6,7.15,75.4,6171.884,2
Oceania,Wallis and Futuna,11094,NA,NA,NA,79.94,NA,NA
NA,World,7874965730,58.045,30.9,8.696,72.58,15469.207,10
Asia,Yemen,30490639,53.508,20.3,2.922,66.12,1479.147,18.8
Africa,Zambia,18920657,22.995,17.7,2.48,63.89,3689.251,57.5
Africa,Zimbabwe,15092171,42.729,19.6,2.822,61.49,1899.775,21.4
